year,province,gdp,per_gdp,fgdp,sgdp,tgdp,industry_add,architecture_add,bank_add
2010,山东,39169.92,41106.0,3588.28,21238.49,14343.14,18861.45,2377.04,1361.45
2010,山西,9200.86,26283.0,554.48,5234.0,3412.38,4657.97,576.03,448.3
2010,广东,46013.06,44736.0,2286.98,23014.53,20711.55,21462.72,1551.81,2658.76
2010,广西,9569.85,20219.0,1675.06,4511.68,3383.11,3860.46,651.22,384.53
2010,新疆,5437.47,25034.0,1078.63,2592.15,1766.69,2161.39,430.76,225.2
2010,江苏,41425.48,52840.0,2540.1,21753.93,17131.45,19277.65,2476.28,2105.92
2010,江西,9451.26,21253.0,1206.98,5122.88,3121.4,4286.76,836.12,241.49
2010,河北,20394.26,28668.0,2562.81,10707.68,7123.77,9554.03,1153.65,615.42
2010,河南,23092.36,24446.0,3258.09,13226.38,6607.89,11950.88,1275.5,697.68
2010,浙江,27722.31,51711.0,1360.56,14297.93,12063.82,12657.78,1640.15,2326.58
2010,海南,2064.5,23831.0,539.83,571.0,953.67,385.21,185.79,78.12
2010,湖北,15967.61,27906.0,2147.0,7767.24,6053.37,6726.53,1040.71,561.27
2010,湖南,16037.96,24719.0,2325.5,7343.19,6369.27,6305.11,1038.08,463.16
2010,甘肃,4120.75,16113.0,599.28,1984.97,1536.5,1602.87,382.1,100.54
2010,福建,14737.12,40025.0,1363.67,7522.83,5850.62,6397.71,1125.12,767.58
2010,西藏,507.46,17027.0,68.72,163.92,274.82,39.73,124.19,27.08
2010,贵州,4602.16,13119.0,625.03,1800.06,2177.07,1516.87,283.19,231.51
2010,辽宁,18457.27,42355.0,1631.08,9976.82,6849.37,8789.27,1187.55,639.27
2010,重庆,7925.58,27596.0,685.38,4359.12,2881.08,3697.83,661.29,496.56
2010,陕西,10123.48,27133.0,988.45,5446.1,3688.93,4558.97,887.13,384.75
2010,青海,1350.43,24115.0,134.92,744.63,470.88,613.65,130.98,54.53
2010,黑龙,10368.6,27076.0,1302.9,5025.15,4040.55,4429.31,595.84,304.59
2011,上海,19195.69,82560.0,124.94,7927.89,11142.86,7208.59,719.3,2277.4
2011,云南,8893.12,19265.0,1411.01,3780.32,3701.79,2994.3,786.02,456.23
2011,内蒙,14359.88,57974.0,1306.3,8037.69,5015.89,7101.6,936.09,447.46
2011,北京,16251.93,81658.0,136.27,3752.48,12363.18,3048.79,703.69,2215.41
2011,吉林,10568.83,38460.0,1277.44,5611.48,3679.91,4917.95,693.53,207.65
2011,四川,21026.68,26133.0,2983.51,11029.13,7014.04,9491.05,1538.08,868.15
2011,天津,11307.28,85213.0,159.72,5928.32,5219.24,5430.84,497.48,756.5
2011,宁夏,2102.21,33043.0,184.14,1056.15,861.92,816.79,239.36,134.18
2011,安徽,15300.65,25659.0,2015.31,8309.38,4975.96,7062.0,1247.38,503.85
2011,山东,45361.85,47335.0,3973.85,24017.11,17370.89,21275.89,2741.22,1640.41
2011,山西,11237.55,31357.0,641.42,6635.26,3960.87,5959.96,675.3,519.32
2011,广东,53210.28,50807.0,2665.2,26447.38,24097.7,24649.6,1797.78,2916.13
2011,广西,11720.87,25326.0,2047.23,5675.32,3998.33,4851.37,823.95,445.37
2011,新疆,6610.05,30087.0,1139.03,3225.9,2245.12,2700.2,525.7,288.77
2011,江苏,49110.27,62290.0,3064.78,25203.28,20842.21,22280.61,2922.67,2600.11
2011,江西,11702.82,26150.0,1391.07,6390.55,3921.2,5411.86,978.69,357.44
2011,河北,24515.76,33969.0,2905.73,13126.86,8483.17,11770.38,1356.48,746.01
2011,河南,26931.03,28661.0,3512.24,15427.08,7991.72,13949.32,1477.76,868.2
2011,浙江,32318.85,59249.0,1583.04,16555.58,14180.23,14683.03,1872.55,2730.29
2011,海南,2522.66,28898.0,659.23,714.5,1148.93,475.04,239.46,105.24
2011,湖北,19632.26,34197.0,2569.3,9815.94,7247.02,8538.04,1277.9,674.57
2011,湖南,19669.56,29880.0,2768.03,9361.99,7539.54,8122.75,1239.24,501.09
2011,甘肃,5020.37,19595.0,678.75,2377.83,1963.79,1923.95,453.88,145.05
2011,福建,17560.18,47377.0,1612.24,9069.2,6878.74,7675.09,1394.11,862.41
2011,西藏,605.83,20077.0,74.47,208.79,322.57,48.18,160.61,31.7
2011,贵州,5701.84,16413.0,726.22,2194.33,2781.29,1829.2,365.13,297.27
2011,辽宁,22226.7,50760.0,1915.57,12152.15,8158.98,10696.54,1455.61,755.57
2011,重庆,10011.37,34500.0,844.52,5543.04,3623.81,4690.46,852.58,704.66
2011,陕西,12512.3,33464.0,1220.9,6935.59,4355.81,5857.92,1077.67,432.11
2011,青海,1670.44,29522.0,155.08,975.18,540.18,811.73,163.45,62.56
2011,黑龙,12582.0,32819.0,1701.5,5962.41,4918.09,5234.64,727.77,370.78
2012,上海,20181.72,85373.0,127.8,7854.77,12199.15,7097.76,757.01,2450.36
2012,云南,10309.47,22195.0,1654.55,4419.2,4235.72,3450.72,968.48,541.18
2012,内蒙,15880.58,63886.0,1448.58,8801.5,5630.5,7735.78,1065.71,502.01
2012,北京,17879.4,87475.0,150.2,4059.27,13669.93,3294.32,764.95,2536.91
