year,province,dev_cnt,dev_domestic,dev_nation,dev_collectivity,dev_HMT,dev_foreign,total_investment,complete_investment,year_complete_investment,building_investment,equip_investment,other_investment,roadwork_area,complete_area,complete_rate,complete_price,complete_cost
2006,广东,5504.0,4508.0,391.0,457.0,794.0,202.0,9198.04,5822.83,1843.51,1390.89,39.13,413.49,16977.5,4314.1,25.4,924.15,2142.0
2006,广西,1750.0,1593.0,151.0,41.0,97.0,60.0,1601.47,937.54,369.98,276.87,9.16,83.95,4708.28,1133.66,24.1,103.63,914.0
2006,新疆,824.0,813.0,29.0,5.0,6.0,5.0,319.89,192.23,120.88,96.6,1.3,22.98,1567.7,679.06,43.3,73.07,1076.0
2006,江苏,4137.0,3655.0,218.0,131.0,289.0,193.0,7751.58,4422.54,1906.71,1334.08,21.12,551.51,19108.25,5933.51,31.1,891.49,1502.0
2006,江西,1859.0,1662.0,151.0,39.0,128.0,69.0,1403.36,730.77,345.96,260.56,1.69,83.7,4625.59,1621.51,35.1,140.53,867.0
2006,河北,1272.0,1215.0,57.0,10.0,37.0,20.0,1627.06,850.72,481.58,368.11,4.44,109.03,4769.5,1378.89,28.9,196.23,1423.0
2006,河南,2100.0,1984.0,150.0,42.0,61.0,55.0,2084.92,1097.76,581.95,432.62,5.01,144.32,7017.17,1681.42,24.0,184.87,1100.0
2006,浙江,3685.0,3494.0,139.0,54.0,107.0,84.0,6420.35,4237.7,1574.28,953.91,16.76,603.6,16970.08,3877.47,22.8,651.22,1679.0
2006,海南,310.0,270.0,13.0,5.0,27.0,13.0,388.62,240.46,89.26,66.41,0.98,21.87,995.17,125.92,12.7,18.78,1491.0
2006,湖北,2170.0,1951.0,195.0,45.0,136.0,83.0,2171.06,1252.94,564.76,401.78,5.9,157.07,5504.08,1817.7,33.0,292.23,1608.0
2006,湖南,2282.0,2121.0,174.0,39.0,106.0,55.0,2284.97,1230.3,556.06,388.78,7.21,160.07,6340.98,1706.25,26.9,200.05,1172.0
2006,甘肃,895.0,841.0,68.0,39.0,31.0,23.0,377.17,249.65,97.72,77.12,1.03,19.57,1585.4,420.34,26.5,40.99,975.0
2006,福建,2754.0,2015.0,217.0,71.0,488.0,251.0,3092.32,1677.17,787.36,423.35,3.37,360.64,6992.74,1408.32,20.1,193.24,1372.0
2006,西藏,47.0,47.0,11.0,0.0,0.0,0.0,27.65,19.07,8.9,6.85,0.02,2.03,107.82,32.94,30.5,5.34,1620.0
2006,贵州,1432.0,1382.0,84.0,28.0,33.0,17.0,816.61,443.2,186.79,125.92,1.73,59.15,3309.04,642.09,19.4,60.58,943.0
2006,辽宁,2771.0,2456.0,103.0,27.0,165.0,150.0,3650.39,2227.25,1142.19,765.71,11.31,365.17,8578.8,2888.84,33.7,385.89,1336.0
2006,重庆,1936.0,1828.0,70.0,19.0,83.0,25.0,3416.08,1640.95,629.67,406.3,8.71,214.66,8864.37,2224.84,25.1,314.78,1415.0
2006,陕西,918.0,887.0,88.0,19.0,21.0,10.0,1412.85,834.75,394.86,326.45,8.05,60.37,3561.19,792.14,22.2,125.72,1587.0
2006,青海,288.0,273.0,11.0,6.0,12.0,3.0,165.62,108.63,31.18,28.58,0.08,2.52,457.81,133.08,29.1,17.44,1311.0
2006,黑龙,1214.0,1172.0,127.0,6.0,24.0,18.0,801.46,541.53,321.32,260.77,3.21,57.34,3106.45,1398.12,45.0,171.97,1230.0
2007,上海,3116.0,2674.0,260.0,127.0,276.0,166.0,8124.06,5744.8,1307.53,926.16,27.35,354.02,10766.72,3380.12,31.4,1038.98,3073.8
2007,云南,1228.0,1190.0,69.0,10.0,29.0,9.0,1578.21,898.68,422.86,297.64,5.39,119.83,4301.88,1016.29,23.6,145.57,1432.33
2007,内蒙,1415.0,1405.0,36.0,6.0,6.0,4.0,1086.92,743.75,500.89,410.8,2.24,87.85,5272.67,1832.91,34.8,240.79,1313.7
2007,北京,2699.0,2381.0,109.0,24.0,188.0,130.0,11979.32,7332.13,1995.82,1015.27,58.89,921.66,10438.65,2891.65,27.7,690.78,2388.87
2007,吉林,1041.0,996.0,49.0,5.0,31.0,14.0,1172.63,679.25,490.08,374.15,1.87,114.06,4370.03,1291.8,29.6,149.16,1154.67
2007,四川,2816.0,2712.0,106.0,40.0,54.0,50.0,4291.88,2675.27,1326.83,776.33,14.64,535.87,13427.29,3084.15,23.0,321.17,1041.37
2007,天津,1028.0,932.0,129.0,22.0,42.0,54.0,2389.55,1802.48,505.3,333.37,2.69,169.24,4836.49,1704.36,35.2,442.38,2595.56
2007,宁夏,338.0,334.0,5.0,1.0,,4.0,200.92,139.58,93.11,75.32,0.3,17.5,1231.08,501.2,40.7,56.81,1133.52
2007,安徽,2391.0,2263.0,146.0,32.0,67.0,61.0,3213.53,1938.27,892.07,632.91,12.1,247.06,8943.51,2341.6,26.2,328.23,1401.73
2007,山东,3436.0,3226.0,230.0,141.0,128.0,82.0,5602.35,3367.94,1521.02,1122.7,13.84,384.48,15165.08,3794.69,25.0,557.25,1468.5
2007,山西,1608.0,1582.0,132.0,26.0,21.0,5.0,917.21,591.77,258.93,196.27,3.62,59.03,3383.29,796.85,23.6,117.97,1480.5
2007,广东,5695.0,4663.0,345.0,420.0,798.0,234.0,11641.29,7334.99,2517.23,1799.67,49.4,668.16,20358.39,4262.86,20.9,927.12,2174.87
2007,广西,1949.0,1777.0,144.0,38.0,112.0,60.0,2174.15,1352.98,536.28,366.37,9.55,160.36,6028.11,1312.97,21.8,130.88,996.81
2007,新疆,909.0,897.0,26.0,4.0,6.0,6.0,395.4,273.11,168.32,132.12,2.12,34.08,2053.76,890.55,43.4,103.19,1158.72
2007,江苏,4648.0,4103.0,210.0,109.0,316.0,229.0,10274.65,6298.4,2515.91,1735.89,20.0,760.02,23221.55,6340.75,27.3,1018.5,1606.27
2007,江西,2043.0,1843.0,165.0,40.0,132.0,68.0,1620.24,939.87,435.46,345.74,4.2,85.51,5452.42,1626.06,29.8,163.65,1006.44
2007,河北,1497.0,1440.0,60.0,11.0,37.0,20.0,2186.3,1272.17,709.28,508.02,5.31,195.95,5821.87,1342.64,23.1,221.19,1647.41
2007,河南,2586.0,2461.0,149.0,47.0,63.0,62.0,2855.76,1619.86,837.11,672.47,9.22,155.42,10550.9,2785.48,26.4,326.78,1173.15
2007,浙江,3872.0,3645.0,144.0,56.0,116.0,111.0,7611.92,5007.91,1821.67,1021.95,19.98,779.75,18370.15,4100.13,22.3,836.54,2040.27
2007,海南,405.0,354.0,18.0,3.0,29.0,22.0,669.58,305.0,127.57,97.26,2.03,28.29,1185.93,233.14,19.7,42.08,1805.13
2007,湖北,2364.0,2154.0,185.0,43.0,128.0,82.0,2656.01,1658.97,723.73,484.68,9.5,229.55,6552.66,2099.67,32.0,385.4,1835.51
2007,湖南,2501.0,2320.0,172.0,35.0,114.0,67.0,3364.62,1718.79,754.58,519.85,9.05,225.68,8162.11,2055.83,25.2,273.91,1332.37
2007,甘肃,1045.0,989.0,74.0,39.0,32.0,24.0,528.1,335.89,134.07,100.58,1.81,31.68,1854.11,431.69,23.3,46.48,1076.76
2007,福建,2693.0,2028.0,187.0,60.0,443.0,222.0,4110.28,2547.46,1132.49,620.96,5.36,506.17,9651.58,1711.33,17.7,236.53,1382.13
2007,西藏,35.0,35.0,11.0,,,,33.07,22.99,11.68,11.15,0.03,0.49,114.71,41.27,36.0,10.01,2425.48
2007,贵州,1575.0,1528.0,77.0,24.0,32.0,15.0,1065.81,612.15,249.67,178.72,2.01,68.94,4277.01,694.85,16.2,66.6,958.48
2007,辽宁,2981.0,2634.0,94.0,23.0,184.0,163.0,5341.28,2839.69,1497.58,1166.2,17.06,314.32,11615.11,3129.88,26.9,445.3,1422.74
2007,重庆,2039.0,1927.0,70.0,16.0,83.0,29.0,4338.59,2185.85,849.9,553.82,11.96,284.12,10578.84,2253.07,21.3,318.06,1411.66
2007,陕西,946.0,910.0,87.0,16.0,21.0,15.0,2117.88,1148.73,535.32,417.12,13.12,105.09,4446.42,892.04,20.1,149.61,1677.12
2007,青海,299.0,285.0,11.0,5.0,11.0,3.0,171.42,107.58,34.21,28.2,0.2,5.8,584.22,171.21,29.3,24.88,1453.0
2007,黑龙,1320.0,1277.0,117.0,7.0,25.0,18.0,958.04,659.01,382.37,283.88,5.63,92.85,3301.73,1595.62,48.3,224.1,1404.48
2008,上海,3898.0,3384.0,326.0,128.0,306.0,208.0,9482.88,6627.51,1435.73,966.59,25.86,443.29,10784.23,2570.74,23.8,644.66,2508.0
2008,云南,2208.0,2168.0,81.0,13.0,34.0,6.0,2334.74,1182.88,557.69,407.12,5.61,144.96,5367.6,1051.7,19.6,169.55,1612.0
2008,内蒙,2243.0,2232.0,36.0,5.0,6.0,5.0,1669.14,1157.86,744.3,598.37,3.94,141.99,7099.1,1981.4,27.9,287.98,1453.0
2008,北京,3433.0,3112.0,99.0,26.0,185.0,136.0,13111.06,8099.7,1908.74,829.56,48.63,1030.54,10014.32,2557.99,25.5,671.29,2624.0
2008,吉林,1361.0,1323.0,31.0,7.0,25.0,13.0,1507.72,1008.15,641.04,512.78,6.33,121.93,4965.1,1549.1,31.2,215.07,1388.0
2008,四川,3946.0,3787.0,142.0,37.0,83.0,76.0,6021.61,3325.89,1451.7,979.5,17.13,455.07,15589.3,3348.6,21.5,438.73,1310.0
2008,天津,1258.0,1125.0,219.0,32.0,66.0,67.0,3328.22,2616.27,653.72,428.99,3.52,221.21,5704.27,1799.37,31.5,403.87,2245.0
2008,宁夏,341.0,337.0,3.0,3.0,,4.0,255.78,178.77,117.59,101.56,1.74,14.28,1580.7,634.2,40.1,80.62,1271.0
2008,安徽,3277.0,3139.0,140.0,32.0,79.0,59.0,4807.41,3022.54,1362.67,961.43,21.2,380.03,11729.4,2541.1,21.7,410.9,1617.0
2008,山东,5748.0,5477.0,239.0,156.0,153.0,118.0,8467.12,4741.22,2038.53,1486.16,23.54,528.84,20098.7,4535.1,22.6,787.59,1737.0
2008,山西,1836.0,1813.0,127.0,25.0,20.0,3.0,1342.62,738.13,326.79,231.52,6.28,88.99,3895.9,920.5,23.6,133.11,1446.0
2008,广东,6651.0,5594.0,319.0,433.0,797.0,260.0,14731.65,9742.53,2949.25,2087.24,71.09,790.92,23683.0,5063.9,21.4,1310.29,2588.0
2008,广西,3115.0,2916.0,184.0,51.0,113.0,86.0,2838.03,1771.04,627.34,437.99,11.9,177.46,6877.0,1253.5,18.2,153.57,1225.0
